# TIME FLUX FLUX_ERR PHASE ECL_MASK
1.470928311122690275e+03 1.000204920768737793e+00 5.675061838701367378e-04 1.800516652769692527e-01 0.000000000000000000e+00
1.470949144519524225e+03 1.000573158264160156e+00 5.678893649019300938e-04 1.814777719087281582e-01 0.000000000000000000e+00
1.470969977916067364e+03 1.001232028007507324e+00 5.677589215338230133e-04 1.829038785205803208e-01 0.000000000000000000e+00
1.470990811312376763e+03 1.000841975212097168e+00 5.677253357134759426e-04 1.843299851164328373e-01 0.000000000000000000e+00
1.471011644708454241e+03 1.000915408134460449e+00 5.677878507412970066e-04 1.857560916964091646e-01 0.000000000000000000e+00
1.471032478104241363e+03 1.000860571861267090e+00 5.678723682649433613e-04 1.871821982565098352e-01 0.000000000000000000e+00
1.471053311499794972e+03 1.001180887222290039e+00 5.678051384165883064e-04 1.886083048006268470e-01 0.000000000000000000e+00
1.471074144895057316e+03 1.000908136367797852e+00 5.677061271853744984e-04 1.900344113248042532e-01 0.000000000000000000e+00
1.471094978290087738e+03 1.000576376914978027e+00 5.675599095411598682e-04 1.914605178331072466e-01 0.000000000000000000e+00
1.471115811684883965e+03 1.000815391540527344e+00 5.678424495272338390e-04 1.928866243253786195e-01 0.000000000000000000e+00
1.471136645079388927e+03 1.001030921936035156e+00 5.678625311702489853e-04 1.943127307977112750e-01 0.000000000000000000e+00
1.471157478473662650e+03 1.000893354415893555e+00 5.676799337379634380e-04 1.957388372542157029e-01 0.000000000000000000e+00
1.471178311867644652e+03 1.000725388526916504e+00 5.679097375832498074e-04 1.971649436907512154e-01 0.000000000000000000e+00
1.471199145261393596e+03 1.001005649566650391e+00 5.678802262991666794e-04 1.985910501113323789e-01 0.000000000000000000e+00
1.471219978654852412e+03 1.000600934028625488e+00 5.678967572748661041e-04 2.000171565120538730e-01 0.000000000000000000e+00
1.471240812048077487e+03 1.000161767005920410e+00 5.677663721144199371e-04 2.014432628967748329e-01 0.000000000000000000e+00
1.471261645441069277e+03 1.001718521118164062e+00 5.680200993083417416e-04 2.028693692655272329e-01 0.000000000000000000e+00
1.471282478833770483e+03 1.000784277915954590e+00 5.676569999195635319e-04 2.042954756143879891e-01 0.000000000000000000e+00
1.471303312226180878e+03 9.997534751892089844e-01 5.675991997122764587e-04 2.057215819433420023e-01 0.000000000000000000e+00
1.471324145618358443e+03 1.000944495201110840e+00 5.677573499269783497e-04 2.071476882563585420e-01 0.000000000000000000e+00
1.471344979010303859e+03 1.000038504600524902e+00 5.678666639141738415e-04 2.085737945534829052e-01 0.000000000000000000e+00
1.471365812401957328e+03 1.000443816184997559e+00 5.676336586475372314e-04 2.099999008306232540e-01 0.000000000000000000e+00
1.471386645793319985e+03 1.000419020652770996e+00 5.676552536897361279e-04 2.114260070878568598e-01 0.000000000000000000e+00
1.471407479184449812e+03 1.001691699028015137e+00 5.678604356944561005e-04 2.128521133291521039e-01 0.000000000000000000e+00
1.471428312575345899e+03 1.000898480415344238e+00 5.678858142346143723e-04 2.142782195544477020e-01 0.000000000000000000e+00
1.471449145965951857e+03 1.001809000968933105e+00 5.679290625266730785e-04 2.157043257598827424e-01 0.000000000000000000e+00
1.471469979356267459e+03 1.000984668731689453e+00 5.678193992935121059e-04 2.171304319454421261e-01 0.000000000000000000e+00
1.471490812746350002e+03 1.001087903976440430e+00 5.677223671227693558e-04 2.185565381150480491e-01 0.000000000000000000e+00
1.471553312914966909e+03 9.989015460014343262e-01 5.674523417837917805e-04 2.228348565122377778e-01 0.000000000000000000e+00
1.471574146304000578e+03 9.990541934967041016e-01 5.673717241734266281e-04 2.242609626100442455e-01 0.000000000000000000e+00
1.471594979692742982e+03 9.991939663887023926e-01 5.675890133716166019e-04 2.256870686879137722e-01 0.000000000000000000e+00
1.471615813081195938e+03 9.993149638175964355e-01 5.673760897479951382e-04 2.271131747459698147e-01 0.000000000000000000e+00
1.471636646469415382e+03 9.996857643127441406e-01 5.675295833498239517e-04 2.285392807880413102e-01 0.000000000000000000e+00
1.471657479857343560e+03 9.997516870498657227e-01 5.675347056239843369e-04 2.299653868101740883e-01 0.000000000000000000e+00
1.471699146632444126e+03 9.989961385726928711e-01 5.671862745657563210e-04 2.328175988027050280e-01 0.000000000000000000e+00
1.471719980019556942e+03 1.000276446342468262e+00 5.678560701198875904e-04 2.342437047690237861e-01 0.000000000000000000e+00
1.471740813406437610e+03 9.999722242355346680e-01 5.675141583196818829e-04 2.356698107194521441e-01 0.000000000000000000e+00
1.471782480179325603e+03 9.998787641525268555e-01 5.673722480423748493e-04 2.385220225605255706e-01 0.000000000000000000e+00
1.471803313565392045e+03 1.000214815139770508e+00 5.682104383595287800e-04 2.399481284552171800e-01 0.000000000000000000e+00
1.471824146951108332e+03 9.993963837623596191e-01 5.672582192346453667e-04 2.413742343259404066e-01 0.000000000000000000e+00
1.471844980336650224e+03 1.001056075096130371e+00 5.677497829310595989e-04 2.428003401847256271e-01 0.000000000000000000e+00
1.471865813721843551e+03 1.000083327293395996e+00 5.674268468283116817e-04 2.442264460196499343e-01 0.000000000000000000e+00
1.471886647106802457e+03 9.998697042465209961e-01 5.677128210663795471e-04 2.456525518385284101e-01 0.000000000000000000e+00
1.471907480491470551e+03 9.999094009399414062e-01 5.675054853782057762e-04 2.470786576374992549e-01 0.000000000000000000e+00
1.471928313875907179e+03 9.998379945755004883e-01 5.674344720318913460e-04 2.485047634206258849e-01 0.000000000000000000e+00
1.471949147259993651e+03 9.996784925460815430e-01 5.676466389559209347e-04 2.499308691797832438e-01 0.000000000000000000e+00
1.471969980643847521e+03 1.000364899635314941e+00 5.682513583451509476e-04 2.513569749230173400e-01 0.000000000000000000e+00
1.471990814027469014e+03 9.982001781463623047e-01 5.674569401890039444e-04 2.527830806503459371e-01 0.000000000000000000e+00
1.472011647410740807e+03 1.000238537788391113e+00 5.676059518009424210e-04 2.542091863537363494e-01 0.000000000000000000e+00
1.472032480793779769e+03 1.000283122062683105e+00 5.674781277775764465e-04 2.556352920411884000e-01 0.000000000000000000e+00
1.472053314176469257e+03 1.000209569931030273e+00 5.676602013409137726e-04 2.570613977047182530e-01 0.000000000000000000e+00
1.472074147558926143e+03 1.001556277275085449e+00 5.680057802237570286e-04 2.584875033523248433e-01 0.000000000000000000e+00
1.472094980941150197e+03 1.001232504844665527e+00 5.677270819433033466e-04 2.599136089839948482e-01 0.000000000000000000e+00
1.472115814323024779e+03 1.000904202461242676e+00 5.675032152794301510e-04 2.613397145917417674e-01 0.000000000000000000e+00
1.472136647704667439e+03 9.998367428779602051e-01 5.674985586665570736e-04 2.627658201836124974e-01 0.000000000000000000e+00
1.472157481085960171e+03 9.991618990898132324e-01 5.673673003911972046e-04 2.641919257515308317e-01 0.000000000000000000e+00
1.472178314467020073e+03 1.000063538551330566e+00 5.675029824487864971e-04 2.656180313035099161e-01 0.000000000000000000e+00
1.472199147847789391e+03 9.996513128280639648e-01 5.674787098541855812e-04 2.670441368355982448e-01 0.000000000000000000e+00
1.472219981228267216e+03 9.999112486839294434e-01 5.678678280673921108e-04 2.684702423477336453e-01 0.000000000000000000e+00
1.472240814608511528e+03 9.998504519462585449e-01 5.676690489053726196e-04 2.698963478438836106e-01 0.000000000000000000e+00
1.472261647988407049e+03 1.000283360481262207e+00 5.677199806086719036e-04 2.713224533161584517e-01 0.000000000000000000e+00
1.472282481368011759e+03 1.000520348548889160e+00 5.676150904037058353e-04 2.727485587685256618e-01 0.000000000000000000e+00
1.472303314747383638e+03 1.000176191329956055e+00 5.678986199200153351e-04 2.741746642049553984e-01 0.000000000000000000e+00
1.472324148126464934e+03 1.000195026397705078e+00 5.676810396835207939e-04 2.756007696214934910e-01 0.000000000000000000e+00
1.472344981505196529e+03 1.000132679939270020e+00 5.676017026416957378e-04 2.770268750140942871e-01 0.000000000000000000e+00
1.472365814883695066e+03 1.000410318374633789e+00 5.674706771969795227e-04 2.784529803907407342e-01 0.000000000000000000e+00
1.472386648261903474e+03 1.000913858413696289e+00 5.678666639141738415e-04 2.798790857475275118e-01 0.000000000000000000e+00
1.472407481639819935e+03 1.000554203987121582e+00 5.677317385561764240e-04 2.813051910843302750e-01 0.000000000000000000e+00
1.472428315017386694e+03 1.001745343208312988e+00 5.682394257746636868e-04 2.827312963971939652e-01 0.000000000000000000e+00
1.472449148394721306e+03 1.000498533248901367e+00 5.675880820490419865e-04 2.841574016941663672e-01 0.000000000000000000e+00
1.472469981771764878e+03 9.998854994773864746e-01 5.676568835042417049e-04 2.855835069712169272e-01 0.000000000000000000e+00
1.472490815148517186e+03 1.000002384185791016e+00 5.675730062648653984e-04 2.870096122283296580e-01 0.000000000000000000e+00
1.472511648524921156e+03 1.000406146049499512e+00 5.674757994711399078e-04 2.884357174615965747e-01 0.000000000000000000e+00
1.472532481901091387e+03 1.000589370727539062e+00 5.678379675373435020e-04 2.898618226788647334e-01 0.000000000000000000e+00
1.472553315276970807e+03 9.999276399612426758e-01 5.674092099070549011e-04 2.912879278762252611e-01 0.000000000000000000e+00
1.472574148652501663e+03 1.001461982727050781e+00 5.677400040440261364e-04 2.927140330497257636e-01 0.000000000000000000e+00
1.472594982027799006e+03 1.001451134681701660e+00 5.682930932380259037e-04 2.941401382072417192e-01 0.000000000000000000e+00
1.472615815402746193e+03 1.001648902893066406e+00 5.683016497641801834e-04 2.955662433407884038e-01 0.000000000000000000e+00
1.472636648777403252e+03 1.001408100128173828e+00 5.677739391103386879e-04 2.969923484544745307e-01 0.000000000000000000e+00
1.472657482151769955e+03 1.000301003456115723e+00 5.674978601746261120e-04 2.984184535482850009e-01 0.000000000000000000e+00
1.472678315525844710e+03 1.000711202621459961e+00 5.675629945471882820e-04 2.998445586221114567e-01 0.000000000000000000e+00
1.472699148899628653e+03 1.000597238540649414e+00 5.675645661540329456e-04 3.012706636760311696e-01 0.000000000000000000e+00
1.472719982273122014e+03 1.000958800315856934e+00 5.684019415639340878e-04 3.026967687100583504e-01 0.000000000000000000e+00
1.472740815646265673e+03 1.000778913497924805e+00 5.676835426129400730e-04 3.041228737201482346e-01 0.000000000000000000e+00
1.472761649019118295e+03 1.000251293182373047e+00 5.674459971487522125e-04 3.055489787103162769e-01 0.000000000000000000e+00
1.472782482391680560e+03 1.000808358192443848e+00 5.679927999153733253e-04 3.069750836806077743e-01 0.000000000000000000e+00
1.472803315763950195e+03 1.000184416770935059e+00 5.680015310645103455e-04 3.084011886308681838e-01 0.000000000000000000e+00
1.472824149135928792e+03 1.001462578773498535e+00 5.680360482074320316e-04 3.098272935612067513e-01 0.000000000000000000e+00
1.472844982507559735e+03 1.001720309257507324e+00 5.679978057742118835e-04 3.112533984677465781e-01 0.000000000000000000e+00
1.472865815878898957e+03 1.001142382621765137e+00 5.676561850123107433e-04 3.126795033543174895e-01 0.000000000000000000e+00
1.472886649249947141e+03 1.001427412033081055e+00 5.678907618857920170e-04 3.141056082209656708e-01 0.000000000000000000e+00
